txn_id,Time,hour,amount_inr,channel,rule_hit,fraud_score,fraud_flag,Amount
CC-000001,159216.0,20,12035.0,Ecom,clean,0.3624,0,145.0
CC-000002,82473.0,22,214.14,ATM,night_burst,0.1023,0,2.58
CC-000003,31856.0,8,4565.0,ATM,clean,0.3202,0,55.0
CC-000004,80691.0,22,73.87,ATM,night_burst,0.0514,0,0.89
CC-000005,71621.0,19,1410.17,POS,clean,0.1743,0,16.99
CC-000006,158064.0,19,3553.23,POS,clean,0.2683,0,42.81
CC-000007,100472.0,3,9535.87,Ecom,night_burst,0.391,0,114.89
CC-000008,67102.0,18,8886.81,Ecom,clean,0.3411,0,107.07
CC-000009,128346.0,11,1245.0,POS,clean,0.1594,0,15.0
CC-000010,14281.0,3,4472.87,ATM,night_burst,0.4004,0,53.89
CC-000011,81129.0,22,1577.0,ATM,night_burst,0.1894,0,19.0
CC-000012,51334.0,14,52490.86,Ecom,amount_spike,0.35,0,632.42
CC-000013,125297.0,10,44010.75,Ecom,amount_spike,0.3863,0,530.25
CC-000014,110402.0,6,660.68,ATM,clean,0.2225,0,7.96
CC-000015,133415.0,13,540.33,POS,clean,0.1619,0,6.51
CC-000016,145795.0,16,13280.0,Ecom,clean,0.3691,0,160.0
CC-000017,73662.0,20,2572.17,POS,clean,0.2488,0,30.99
CC-000018,37695.0,10,672.3,POS,clean,0.1416,0,8.1
CC-000019,155373.0,19,414.17,POS,clean,0.1307,0,4.99
CC-000020,60160.0,16,13280.0,Ecom,clean,0.3449,0,160.0
CC-000021,76857.0,21,83.0,ATM,geo_mismatch,0.7,1,1.0
CC-000022,36268.0,10,63.91,POS,clean,0.0609,0,0.77
CC-000023,51295.0,14,1245.0,POS,clean,0.2026,0,15.0
CC-000024,66768.0,18,312.08,POS,clean,0.128,0,3.76
CC-000025,150691.0,17,592.62,POS,clean,0.167,0,7.14
CC-000026,159712.0,20,829.17,POS,clean,0.1462,0,9.99
