customer_id,gender,age,tenure_months,monthly_income,segment,has_loan,has_card,churned,churn_score,Contract,InternetService,MonthlyCharges
7590-VHVEG,Female,28,1,26865.0,Mass,1,0,0,0.485,Month-to-month,DSL,29.85
5575-GNVDE,Male,46,34,51255.0,Affluent,0,0,0,0.1788,One year,DSL,56.95
3668-QPYBK,Male,29,2,48465.0,Affluent,1,0,1,0.9125,Month-to-month,DSL,53.85
7795-CFOCW,Male,52,45,38070.0,Mass,0,1,0,0.1301,One year,DSL,42.3
9237-HQITU,Female,29,2,63630.0,Affluent,1,0,1,0.9338,Month-to-month,Fiber optic,70.7
9305-CDSKC,Female,32,8,89685.0,HNI,1,0,1,0.954,Month-to-month,Fiber optic,99.65
1452-KIOVK,Male,40,22,80190.0,HNI,1,1,0,0.5023,Month-to-month,Fiber optic,89.1
6713-OKOMC,Female,33,10,26775.0,Mass,1,0,0,0.4602,Month-to-month,DSL,29.75
7892-POOKP,Female,43,28,94320.0,HNI,1,0,1,0.9057,Month-to-month,Fiber optic,104.8
6388-TABGU,Male,62,62,50535.0,Affluent,0,1,0,0.1011,One year,DSL,56.15
9763-GRSKD,Male,35,13,44955.0,Mass,1,0,0,0.4775,Month-to-month,DSL,49.95
7469-LKBCI,Male,36,16,17055.0,Mass,0,1,0,0.1801,Two year,No,18.95
8091-TTVAX,Male,59,58,90315.0,HNI,0,1,0,0.1679,One year,Fiber optic,100.35
0280-XJGEX,Male,54,49,93330.0,HNI,1,1,1,0.8467,Month-to-month,Fiber optic,103.7
5129-JLPIS,Male,41,25,94950.0,HNI,1,0,0,0.5148,Month-to-month,Fiber optic,105.5
3655-SNQYZ,Female,65,69,101925.0,HNI,0,1,0,0.154,Two year,Fiber optic,113.25
8191-XWSZG,Female,56,52,18585.0,Mass,0,0,0,0.0836,One year,No,20.65
9959-WOFKT,Male,65,71,96030.0,HNI,0,1,0,0.1403,Two year,Fiber optic,106.7
4190-MFLUW,Female,33,10,49680.0,Affluent,1,1,1,0.8923,Month-to-month,DSL,55.2
4183-MYFRB,Female,39,21,81045.0,HNI,1,0,0,0.5062,Month-to-month,Fiber optic,90.05
8779-QRDMV,Male,68,1,35685.0,Mass,1,0,1,0.8973,Month-to-month,DSL,39.65
1680-VDCWW,Male,34,12,17820.0,Mass,0,1,0,0.1921,One year,No,19.8
1066-JKSGK,Male,28,1,18135.0,Mass,1,0,1,0.8727,Month-to-month,No,20.15
3638-WEABW,Female,59,58,53910.0,Affluent,0,1,0,0.1168,Two year,DSL,59.9
6322-HRPFA,Male,54,49,53640.0,Affluent,1,1,0,0.391,Month-to-month,DSL,59.6
6865-JZNKO,Female,44,30,49770.0,Affluent,1,1,0,0.4377,Month-to-month,DSL,55.3
6467-CHFZW,Male,53,47,89415.0,HNI,1,0,1,0.8467,Month-to-month,Fiber optic,99.35
8665-UTDHZ,Male,28,1,27180.0,Mass,1,0,1,0.8854,Month-to-month,DSL,30.2
5248-YGIJN,Male,65,72,81225.0,HNI,0,1,0,0.1167,Two year,DSL,90.25
8773-HHUOZ,Female,37,17,58230.0,Affluent,1,0,1,0.8852,Month-to-month,DSL,64.7
3841-NFECX,Female,68,71,86715.0,HNI,0,1,0,0.1272,Two year,Fiber optic,96.35
4929-XIHVW,Male,68,2,85950.0,HNI,1,1,0,0.5652,Month-to-month,Fiber optic,95.5
6827-IEAUQ,Female,42,27,59535.0,Affluent,0,0,0,0.2096,One year,DSL,66.15
7310-EGVHZ,Male,28,1,18180.0,Mass,1,1,0,0.4728,Month-to-month,No,20.2
3413-BMNZE,Male,68,1,40725.0,Mass,1,1,0,0.5044,Month-to-month,DSL,45.25
6234-RAAPL,Female,65,72,89910.0,HNI,0,1,0,0.1289,Two year,Fiber optic,99.9
6047-YHPVI,Male,30,5,62730.0,Affluent,1,0,1,0.9243,Month-to-month,Fiber optic,69.7
6572-ADKRS,Female,53,46,67320.0,Affluent,1,1,0,0.4185,Month-to-month,Fiber optic,74.8
5380-WJKOV,Male,46,34,95715.0,HNI,1,0,1,0.8912,Month-to-month,Fiber optic,106.35
8168-UQWWF,Female,34,11,88065.0,HNI,1,1,1,0.9435,Month-to-month,Fiber optic,97.85
8865-TNMNX,Male,33,10,44595.0,Mass,0,0,0,0.2352,One year,DSL,49.55
9489-DEDVP,Female,65,70,62280.0,Affluent,0,1,0,0.0956,Two year,DSL,69.2
9867-JCZSP,Female,37,17,18675.0,Mass,0,0,0,0.1796,One year,No,20.75
4671-VJLCL,Female,62,63,71865.0,Affluent,0,1,0,0.1283,Two year,DSL,79.85
4080-IIARD,Female,35,13,68580.0,Affluent,1,0,0,0.5106,Month-to-month,DSL,76.2
3714-NTNFO,Female,54,49,76050.0,HNI,1,0,0,0.4225,Month-to-month,Fiber optic,84.5
5948-UJZLF,Male,29,2,44325.0,Mass,1,0,0,0.5067,Month-to-month,DSL,49.25
7760-OYPDY,Female,29,2,72585.0,HNI,1,0,1,0.9464,Month-to-month,Fiber optic,80.65
7639-LIAYI,Male,56,52,71775.0,Affluent,0,1,0,0.1583,Two year,DSL,79.75
2954-PIBKO,Female,65,69,57735.0,Affluent,0,1,0,0.092,Two year,DSL,64.15
8012-SOUDQ,Female,68,43,81225.0,HNI,1,0,0,0.4462,Month-to-month,Fiber optic,90.25
9420-LOJKX,Female,36,15,89190.0,HNI,1,1,1,0.9341,Month-to-month,Fiber optic,99.1
6575-SUVOI,Female,68,25,62550.0,Affluent,1,1,0,0.4693,Month-to-month,DSL,69.5
7495-OOKFY,Female,68,8,72585.0,HNI,1,1,1,0.93,Month-to-month,Fiber optic,80.65
4667-QONEA,Female,68,60,67365.0,Affluent,0,1,0,0.1302,One year,DSL,74.85
1658-BYGOY,Male,68,18,85905.0,HNI,1,0,1,0.9213,Month-to-month,Fiber optic,95.45
8769-KKTPH,Female,62,63,89685.0,HNI,0,1,0,0.1533,One year,Fiber optic,99.65
5067-XJQFU,Male,68,66,97605.0,HNI,0,0,0,0.1562,One year,Fiber optic,108.45
3957-SQXML,Female,46,34,22455.0,Mass,0,1,0,0.1384,Two year,No,24.95
5954-BDFSG,Female,65,72,96750.0,HNI,0,1,0,0.1385,Two year,Fiber optic,107.5
0434-CSFON,Female,53,47,90450.0,HNI,1,0,0,0.4482,Month-to-month,Fiber optic,100.5
1215-FIGMP,Male,61,60,80910.0,HNI,1,1,0,0.3992,Month-to-month,Fiber optic,89.9
0526-SXDJP,Male,65,72,37890.0,Mass,0,1,0,0.0559,Two year,DSL,42.1
0557-ASKVU,Female,37,18,48960.0,Affluent,0,1,0,0.2194,One year,DSL,54.4
5698-BQJOH,Female,32,9,84960.0,HNI,1,0,1,0.9446,Month-to-month,Fiber optic,94.4
5122-CYFXA,Female,29,3,67770.0,Affluent,1,0,0,0.5369,Month-to-month,DSL,75.3
8627-ZYGSZ,Male,53,47,71010.0,Affluent,0,0,0,0.1709,One year,Fiber optic,78.9
3410-YOQBQ,Female,45,31,71280.0,Affluent,0,0,0,0.2151,Two year,DSL,79.2
3170-NMYVV,Female,55,50,18135.0,Mass,0,1,0,0.0885,Two year,No,20.15
7410-OIEDU,Male,33,10,71865.0,Affluent,1,0,0,0.5235,Month-to-month,Fiber optic,79.85
2273-QCKXA,Male,28,1,44145.0,Mass,1,0,0,0.5092,Month-to-month,DSL,49.05
0731-EBJQB,Female,56,52,18360.0,Mass,0,0,0,0.0833,One year,No,20.4
1891-QRQSA,Male,68,64,100440.0,HNI,0,1,0,0.1656,Two year,Fiber optic,111.6
8028-PNXHQ,Male,62,62,21825.0,Mass,0,1,0,0.0608,Two year,No,24.25
5630-AHZIL,Female,29,3,58050.0,Affluent,1,1,0,0.5233,Month-to-month,DSL,64.5
2673-CXQEU,Female,68,56,99450.0,HNI,0,0,0,0.1862,One year,Fiber optic,110.5
6416-JNVRK,Female,53,46,50085.0,Affluent,0,1,0,0.1443,One year,DSL,55.65
5590-ZSKRV,Female,32,8,49185.0,Affluent,1,0,0,0.4971,Month-to-month,DSL,54.65
0191-ZHSKZ,Male,68,30,67275.0,Affluent,1,0,0,0.4622,Month-to-month,DSL,74.75
3887-PBQAO,Female,52,45,23310.0,Mass,0,1,0,0.1094,One year,No,25.9
5919-TMRGD,Female,28,1,71415.0,Affluent,1,0,1,0.9475,Month-to-month,Fiber optic,79.35
8108-UXRQN,Female,34,11,45495.0,Affluent,1,0,0,0.4837,Month-to-month,DSL,50.55
9191-MYQKX,Female,31,7,67635.0,Affluent,1,1,1,0.9257,Month-to-month,Fiber optic,75.15
9919-YLNNG,Female,51,42,93420.0,HNI,1,1,0,0.466,Month-to-month,Fiber optic,103.8
0318-ZOPWS,Female,54,49,18135.0,Mass,0,1,0,0.0912,Two year,No,20.15
4445-ZJNMU,Male,32,9,89370.0,HNI,1,1,0,0.5508,Month-to-month,Fiber optic,99.3
4808-YNLEU,Female,47,35,55935.0,Affluent,0,1,0,0.1826,One year,DSL,62.15
1862-QRWPE,Female,54,48,18585.0,Mass,0,1,0,0.0946,Two year,No,20.65
2796-NNUFI,Female,53,46,17955.0,Mass,0,0,0,0.0992,Two year,No,19.95
3016-KSVCP,Male,43,29,30375.0,Mass,1,0,0,0.4132,Month-to-month,DSL,33.75
4767-HZZHQ,Male,44,30,73845.0,HNI,1,1,0,0.4715,Month-to-month,Fiber optic,82.05
2424-WVHPL,Male,68,1,67230.0,Affluent,1,0,0,0.5416,Month-to-month,Fiber optic,74.7
7233-PAHHL,Male,64,66,75600.0,HNI,0,0,0,0.1253,Two year,DSL,84.0
6067-NGCEU,Female,63,65,99945.0,HNI,1,1,0,0.4122,Month-to-month,Fiber optic,111.05
9848-JQJTX,Male,65,72,90810.0,HNI,0,1,0,0.1302,Two year,Fiber optic,100.9
8637-XJIVR,Female,34,12,71055.0,Affluent,1,0,1,0.9168,Month-to-month,Fiber optic,78.95
9803-FTJCG,Male,65,71,60165.0,Affluent,0,1,0,0.0899,One year,DSL,66.85
0278-YXOOG,Male,30,5,18945.0,Mass,1,0,1,0.8629,Month-to-month,No,21.05
3212-KXOCR,Male,56,52,18900.0,Mass,0,1,0,0.0841,Two year,No,21.0
4598-XLKNJ,Female,68,25,88650.0,HNI,1,0,1,0.9059,Month-to-month,Fiber optic,98.5
6380-ARCEH,Male,28,1,18180.0,Mass,1,0,0,0.4728,Month-to-month,No,20.2
3679-XASPY,Female,28,1,17505.0,Mass,1,0,0,0.4718,Month-to-month,No,19.45
7123-WQUHX,Male,48,38,85500.0,HNI,0,1,0,0.2159,One year,Fiber optic,95.0
5386-THSLQ,Female,68,66,40995.0,Mass,0,1,0,0.0767,One year,DSL,45.55
3192-NQECA,Male,65,68,99000.0,HNI,0,1,1,0.5526,Two year,Fiber optic,110.0
6180-YBIQI,Male,30,5,21870.0,Mass,1,0,0,0.467,Month-to-month,DSL,24.3
6728-DKUCO,Female,65,72,93735.0,HNI,0,0,0,0.1343,One year,Fiber optic,104.15
9750-BOOHV,Female,45,32,27135.0,Mass,0,0,0,0.1504,One year,DSL,30.15
