loan_id,product,principal_inr,duration_months,credit_score,dti_ratio,age,default_flag,risk_score,purpose
GL-00001,Personal,105210.0,6,715,0.32,67,0,0.214,domestic appliances
GL-00002,Home,535590.0,48,627,0.23,22,1,0.7938,domestic appliances
GL-00003,Personal,188640.0,12,748,0.16,49,0,0.1453,retraining
GL-00004,Personal,709380.0,42,726,0.16,45,0,0.1698,radio/television
GL-00005,Auto,438300.0,24,634,0.31,53,1,0.802,car (new)
GL-00006,Personal,814950.0,36,740,0.16,35,0,0.1542,retraining
GL-00007,Personal,255150.0,24,739,0.24,53,0,0.1713,radio/television
GL-00008,Auto,625320.0,36,720,0.16,35,0,0.1764,car (used)
GL-00009,Personal,275310.0,12,756,0.16,61,0,0.1364,domestic appliances
GL-00010,Auto,471060.0,30,607,0.39,28,1,0.848,car (new)
GL-00011,Auto,116550.0,12,617,0.31,25,1,0.8209,car (new)
GL-00012,Personal,387720.0,48,616,0.31,24,1,0.822,others
GL-00013,Personal,141030.0,12,724,0.08,22,0,0.156,domestic appliances
GL-00014,Auto,107910.0,24,626,0.39,60,1,0.8269,car (new)
GL-00015,Auto,126270.0,15,716,0.16,28,0,0.1809,car (new)
GL-00016,Personal,115380.0,24,609,0.39,32,1,0.8458,domestic appliances
GL-00017,Personal,218160.0,24,727,0.32,53,0,0.2007,domestic appliances
GL-00018,Personal,726480.0,30,714,0.16,25,0,0.1831,others
GL-00019,Auto,1132110.0,24,616,0.39,44,1,0.838,car (used)
GL-00020,Personal,308700.0,24,726,0.24,31,0,0.1858,domestic appliances
GL-00021,Auto,192060.0,9,724,0.32,48,0,0.204,car (new)
GL-00022,Personal,238230.0,6,725,0.16,44,0,0.1709,domestic appliances
GL-00023,Auto,201690.0,10,740,0.08,48,0,0.1382,car (new)
GL-00024,Auto,162360.0,12,713,0.24,44,0,0.2002,car (used)
GL-00025,Personal,186210.0,10,735,0.16,26,0,0.1598,radio/television
GL-00026,Personal,123660.0,6,733,0.08,36,0,0.146,radio/television
GL-00027,Personal,38340.0,6,718,0.32,39,0,0.2107,domestic appliances
GL-00028,Personal,36810.0,12,712,0.24,42,0,0.2013,domestic appliances
