batch_id,medicine,expiry_risk,units,value_inr
MED-00001,Metformin,Expired,50,6000
MED-00002,Metformin,Expired,50,6000
MED-00003,Metformin,Expiring≤60d,50,6000
MED-00004,Metformin,Expiring≤60d,50,6000
MED-00005,Metformin,Expiring≤60d,50,6000
MED-00006,Metformin,Expiring≤60d,50,6000
MED-00007,Metformin,Expiring≤60d,50,6000
MED-00008,Metformin,Expiring≤60d,50,6000
MED-00009,Metformin,Expiring≤60d,50,6000
MED-00010,Metformin,Expiring≤60d,50,6000
MED-00011,Metformin,Expiring≤60d,50,6000
MED-00012,Metformin,Expiring≤60d,50,6000
MED-00013,Metformin,Watch,50,6000
MED-00014,Metformin,Watch,50,6000
MED-00015,Metformin,Watch,50,6000
MED-00016,Metformin,Watch,50,6000
MED-00017,Metformin,Watch,50,6000
MED-00018,Metformin,Watch,50,6000
MED-00019,Metformin,Watch,50,6000
MED-00020,Metformin,Watch,50,6000
MED-00021,Metformin,Watch,50,6000
MED-00022,Metformin,Watch,50,6000
MED-00023,Metformin,OK,50,6000
MED-00024,Metformin,OK,50,6000
MED-00025,Metformin,OK,50,6000
MED-00026,Metformin,OK,50,6000
MED-00027,Metformin,OK,50,6000
MED-00028,Metformin,OK,50,6000
MED-00029,Metformin,OK,50,6000
MED-00030,Metformin,OK,50,6000
MED-00031,Metformin,OK,50,6000
MED-00032,Metformin,OK,50,6000
MED-00033,Metformin,OK,50,6000
MED-00034,Metformin,OK,50,6000
MED-00035,Metformin,OK,50,6000
MED-00036,Metformin,OK,50,6000
MED-00037,Metformin,OK,50,6000
MED-00038,Metformin,OK,50,6000
MED-00039,Metformin,OK,50,6000
MED-00040,Metformin,OK,50,6000
MED-00041,Metformin,OK,50,6000
MED-00042,Metformin,OK,50,6000
MED-00043,Metformin,OK,50,6000
MED-00044,Metformin,OK,50,6000
MED-00045,Glipizide,Expired,50,9000
MED-00046,Glipizide,Expired,50,9000
MED-00047,Glipizide,Expiring≤60d,50,9000
MED-00048,Glipizide,Expiring≤60d,50,9000
MED-00049,Glipizide,Expiring≤60d,50,9000
MED-00050,Glipizide,Expiring≤60d,50,9000
MED-00051,Glipizide,Expiring≤60d,50,9000
MED-00052,Glipizide,Expiring≤60d,50,9000
MED-00053,Glipizide,Expiring≤60d,50,9000
MED-00054,Glipizide,Expiring≤60d,50,9000
MED-00055,Glipizide,Expiring≤60d,50,9000
MED-00056,Glipizide,Watch,50,9000
MED-00057,Glipizide,Watch,50,9000
MED-00058,Glipizide,Watch,50,9000
MED-00059,Glipizide,Watch,50,9000
MED-00060,Glipizide,Watch,50,9000
MED-00061,Glipizide,Watch,50,9000
MED-00062,Glipizide,Watch,50,9000
MED-00063,Glipizide,OK,50,9000
MED-00064,Glipizide,OK,50,9000
MED-00065,Glipizide,OK,50,9000
MED-00066,Glipizide,OK,50,9000
MED-00067,Glipizide,OK,50,9000
MED-00068,Glipizide,OK,50,9000
MED-00069,Glipizide,OK,50,9000
MED-00070,Glipizide,OK,50,9000
MED-00071,Glipizide,OK,50,9000
MED-00072,Glipizide,OK,50,9000
MED-00073,Glipizide,OK,50,9000
MED-00074,Glipizide,OK,50,9000
MED-00075,Glipizide,OK,50,9000
MED-00076,Glipizide,OK,50,9000
MED-00077,Glyburide,Expired,50,8000
MED-00078,Glyburide,Expired,50,8000
MED-00079,Glyburide,Expiring≤60d,50,8000
MED-00080,Glyburide,Expiring≤60d,50,8000
MED-00081,Glyburide,Expiring≤60d,50,8000
MED-00082,Glyburide,Expiring≤60d,50,8000
MED-00083,Glyburide,Expiring≤60d,50,8000
MED-00084,Glyburide,Expiring≤60d,50,8000
MED-00085,Glyburide,Expiring≤60d,50,8000
MED-00086,Glyburide,Expiring≤60d,50,8000
MED-00087,Glyburide,Expiring≤60d,50,8000
MED-00088,Glyburide,Watch,50,8000
MED-00089,Glyburide,Watch,50,8000
MED-00090,Glyburide,Watch,50,8000
MED-00091,Glyburide,Watch,50,8000
MED-00092,Glyburide,Watch,50,8000
MED-00093,Glyburide,Watch,50,8000
MED-00094,Glyburide,Watch,50,8000
MED-00095,Glyburide,Watch,50,8000
MED-00096,Glyburide,OK,50,8000
MED-00097,Glyburide,OK,50,8000
MED-00098,Glyburide,OK,50,8000
MED-00099,Glyburide,OK,50,8000
MED-00100,Glyburide,OK,50,8000
MED-00101,Glyburide,OK,50,8000
MED-00102,Glyburide,OK,50,8000
MED-00103,Glyburide,OK,50,8000
MED-00104,Glyburide,OK,50,8000
MED-00105,Glyburide,OK,50,8000
MED-00106,Glyburide,OK,50,8000
MED-00107,Pioglitazone,Expired,50,17500
MED-00108,Pioglitazone,Expiring≤60d,50,17500
MED-00109,Pioglitazone,Expiring≤60d,50,17500
MED-00110,Pioglitazone,Watch,50,17500
MED-00111,Pioglitazone,Watch,50,17500
MED-00112,Pioglitazone,OK,50,17500
MED-00113,Pioglitazone,OK,50,17500
MED-00114,Pioglitazone,OK,50,17500
MED-00115,Pioglitazone,OK,50,17500
MED-00116,Pioglitazone,OK,50,17500
MED-00117,Pioglitazone,OK,50,17500
MED-00118,Pioglitazone,OK,50,17500
MED-00119,Pioglitazone,OK,50,17500
MED-00120,Rosiglitazone,Expired,50,20000
MED-00121,Rosiglitazone,Expiring≤60d,50,20000
MED-00122,Rosiglitazone,Watch,50,20000
MED-00123,Rosiglitazone,OK,50,20000
MED-00124,Rosiglitazone,OK,50,20000
MED-00125,Rosiglitazone,OK,50,20000
MED-00126,Rosiglitazone,OK,50,20000
MED-00127,Rosiglitazone,OK,50,20000
MED-00128,Rosiglitazone,OK,50,20000
MED-00129,Rosiglitazone,OK,50,20000
MED-00130,Insulin,Expired,50,45000
MED-00131,Insulin,Expired,50,45000
MED-00132,Insulin,Expired,50,45000
MED-00133,Insulin,Expired,50,45000
MED-00134,Insulin,Expired,50,45000
MED-00135,Insulin,Expired,50,45000
MED-00136,Insulin,Expired,50,45000
MED-00137,Insulin,Expired,50,45000
MED-00138,Insulin,Expired,50,45000
MED-00139,Insulin,Expired,50,45000
MED-00140,Insulin,Expired,50,45000
MED-00141,Insulin,Expired,50,45000
MED-00142,Insulin,Expired,50,45000
MED-00143,Insulin,Expired,50,45000
MED-00144,Insulin,Expired,50,45000
MED-00145,Insulin,Expired,50,45000
MED-00146,Insulin,Expired,50,45000
MED-00147,Insulin,Expired,50,45000
MED-00148,Insulin,Expired,50,45000
MED-00149,Insulin,Expired,50,45000
MED-00150,Insulin,Expired,50,45000
MED-00151,Insulin,Expired,50,45000
MED-00152,Insulin,Expired,50,45000
MED-00153,Insulin,Expired,50,45000
MED-00154,Insulin,Expired,50,45000
MED-00155,Insulin,Expired,50,45000
MED-00156,Insulin,Expired,50,45000
MED-00157,Insulin,Expired,50,45000
MED-00158,Insulin,Expired,50,45000
MED-00159,Insulin,Expired,50,45000
MED-00160,Insulin,Expired,50,45000
MED-00161,Insulin,Expired,50,45000
MED-00162,Insulin,Expired,50,45000
MED-00163,Insulin,Expired,50,45000
MED-00164,Insulin,Expired,50,45000
MED-00165,Insulin,Expired,50,45000
MED-00166,Insulin,Expired,50,45000
MED-00167,Insulin,Expired,50,45000
MED-00168,Insulin,Expired,50,45000
MED-00169,Insulin,Expired,50,45000
MED-00170,Insulin,Expired,50,45000
MED-00171,Insulin,Expired,50,45000
MED-00172,Insulin,Expired,50,45000
MED-00173,Insulin,Expired,50,45000
MED-00174,Insulin,Expired,50,45000
MED-00175,Insulin,Expiring≤60d,50,45000
MED-00176,Insulin,Expiring≤60d,50,45000
MED-00177,Insulin,Expiring≤60d,50,45000
MED-00178,Insulin,Expiring≤60d,50,45000
MED-00179,Insulin,Expiring≤60d,50,45000
MED-00180,Insulin,Expiring≤60d,50,45000
MED-00181,Insulin,Expiring≤60d,50,45000
MED-00182,Insulin,Expiring≤60d,50,45000
MED-00183,Insulin,Expiring≤60d,50,45000
MED-00184,Insulin,Expiring≤60d,50,45000
MED-00185,Insulin,Expiring≤60d,50,45000
MED-00186,Insulin,Expiring≤60d,50,45000
MED-00187,Insulin,Expiring≤60d,50,45000
MED-00188,Insulin,Expiring≤60d,50,45000
MED-00189,Insulin,Expiring≤60d,50,45000
MED-00190,Insulin,Expiring≤60d,50,45000
MED-00191,Insulin,Expiring≤60d,50,45000
MED-00192,Insulin,Expiring≤60d,50,45000
MED-00193,Insulin,Expiring≤60d,50,45000
MED-00194,Insulin,Expiring≤60d,50,45000
MED-00195,Insulin,Expiring≤60d,50,45000
MED-00196,Insulin,Expiring≤60d,50,45000
MED-00197,Insulin,Expiring≤60d,50,45000
MED-00198,Insulin,Expiring≤60d,50,45000
MED-00199,Insulin,Expiring≤60d,50,45000
MED-00200,Insulin,Expiring≤60d,50,45000
MED-00201,Insulin,Expiring≤60d,50,45000
MED-00202,Insulin,Expiring≤60d,50,45000
MED-00203,Insulin,Expiring≤60d,50,45000
MED-00204,Insulin,Expiring≤60d,50,45000
MED-00205,Insulin,Expiring≤60d,50,45000
MED-00206,Insulin,Expiring≤60d,50,45000
MED-00207,Insulin,Expiring≤60d,50,45000
MED-00208,Insulin,Expiring≤60d,50,45000
MED-00209,Insulin,Expiring≤60d,50,45000
MED-00210,Insulin,Expiring≤60d,50,45000
MED-00211,Insulin,Expiring≤60d,50,45000
MED-00212,Insulin,Expiring≤60d,50,45000
MED-00213,Insulin,Expiring≤60d,50,45000
MED-00214,Insulin,Expiring≤60d,50,45000
MED-00215,Insulin,Expiring≤60d,50,45000
MED-00216,Insulin,Expiring≤60d,50,45000
MED-00217,Insulin,Expiring≤60d,50,45000
MED-00218,Insulin,Expiring≤60d,50,45000
MED-00219,Insulin,Expiring≤60d,50,45000
MED-00220,Insulin,Expiring≤60d,50,45000
MED-00221,Insulin,Expiring≤60d,50,45000
MED-00222,Insulin,Expiring≤60d,50,45000
MED-00223,Insulin,Expiring≤60d,50,45000
MED-00224,Insulin,Expiring≤60d,50,45000
MED-00225,Insulin,Expiring≤60d,50,45000
MED-00226,Insulin,Expiring≤60d,50,45000
MED-00227,Insulin,Expiring≤60d,50,45000
MED-00228,Insulin,Expiring≤60d,50,45000
MED-00229,Insulin,Expiring≤60d,50,45000
MED-00230,Insulin,Expiring≤60d,50,45000
MED-00231,Insulin,Expiring≤60d,50,45000
MED-00232,Insulin,Expiring≤60d,50,45000
MED-00233,Insulin,Expiring≤60d,50,45000
MED-00234,Insulin,Expiring≤60d,50,45000
MED-00235,Insulin,Expiring≤60d,50,45000
MED-00236,Insulin,Expiring≤60d,50,45000
MED-00237,Insulin,Expiring≤60d,50,45000
MED-00238,Insulin,Expiring≤60d,50,45000
MED-00239,Insulin,Expiring≤60d,50,45000
MED-00240,Insulin,Expiring≤60d,50,45000
MED-00241,Insulin,Expiring≤60d,50,45000
MED-00242,Insulin,Expiring≤60d,50,45000
MED-00243,Insulin,Expiring≤60d,50,45000
MED-00244,Insulin,Expiring≤60d,50,45000
MED-00245,Insulin,Expiring≤60d,50,45000
MED-00246,Insulin,Expiring≤60d,50,45000
MED-00247,Insulin,Expiring≤60d,50,45000
MED-00248,Insulin,Expiring≤60d,50,45000
MED-00249,Insulin,Expiring≤60d,50,45000
MED-00250,Insulin,Expiring≤60d,50,45000
MED-00251,Insulin,Expiring≤60d,50,45000
MED-00252,Insulin,Expiring≤60d,50,45000
MED-00253,Insulin,Expiring≤60d,50,45000
MED-00254,Insulin,Expiring≤60d,50,45000
MED-00255,Insulin,Expiring≤60d,50,45000
MED-00256,Insulin,Expiring≤60d,50,45000
MED-00257,Insulin,Expiring≤60d,50,45000
MED-00258,Insulin,Expiring≤60d,50,45000
MED-00259,Insulin,Expiring≤60d,50,45000
MED-00260,Insulin,Expiring≤60d,50,45000
MED-00261,Insulin,Expiring≤60d,50,45000
MED-00262,Insulin,Expiring≤60d,50,45000
MED-00263,Insulin,Expiring≤60d,50,45000
MED-00264,Insulin,Expiring≤60d,50,45000
MED-00265,Insulin,Expiring≤60d,50,45000
MED-00266,Insulin,Expiring≤60d,50,45000
MED-00267,Insulin,Expiring≤60d,50,45000
MED-00268,Insulin,Expiring≤60d,50,45000
MED-00269,Insulin,Expiring≤60d,50,45000
MED-00270,Insulin,Expiring≤60d,50,45000
MED-00271,Insulin,Expiring≤60d,50,45000
MED-00272,Insulin,Expiring≤60d,50,45000
MED-00273,Insulin,Expiring≤60d,50,45000
MED-00274,Insulin,Expiring≤60d,50,45000
MED-00275,Insulin,Expiring≤60d,50,45000
MED-00276,Insulin,Expiring≤60d,50,45000
MED-00277,Insulin,Expiring≤60d,50,45000
MED-00278,Insulin,Expiring≤60d,50,45000
MED-00279,Insulin,Expiring≤60d,50,45000
MED-00280,Insulin,Expiring≤60d,50,45000
MED-00281,Insulin,Expiring≤60d,50,45000
MED-00282,Insulin,Expiring≤60d,50,45000
MED-00283,Insulin,Expiring≤60d,50,45000
MED-00284,Insulin,Expiring≤60d,50,45000
MED-00285,Insulin,Expiring≤60d,50,45000
MED-00286,Insulin,Expiring≤60d,50,45000
MED-00287,Insulin,Expiring≤60d,50,45000
MED-00288,Insulin,Expiring≤60d,50,45000
MED-00289,Insulin,Expiring≤60d,50,45000
MED-00290,Insulin,Expiring≤60d,50,45000
MED-00291,Insulin,Expiring≤60d,50,45000
MED-00292,Insulin,Expiring≤60d,50,45000
MED-00293,Insulin,Expiring≤60d,50,45000
MED-00294,Insulin,Expiring≤60d,50,45000
MED-00295,Insulin,Expiring≤60d,50,45000
MED-00296,Insulin,Expiring≤60d,50,45000
MED-00297,Insulin,Expiring≤60d,50,45000
MED-00298,Insulin,Expiring≤60d,50,45000
MED-00299,Insulin,Expiring≤60d,50,45000
MED-00300,Insulin,Expiring≤60d,50,45000
MED-00301,Insulin,Expiring≤60d,50,45000
MED-00302,Insulin,Expiring≤60d,50,45000
MED-00303,Insulin,Expiring≤60d,50,45000
MED-00304,Insulin,Expiring≤60d,50,45000
MED-00305,Insulin,Expiring≤60d,50,45000
MED-00306,Insulin,Expiring≤60d,50,45000
MED-00307,Insulin,Expiring≤60d,50,45000
MED-00308,Insulin,Expiring≤60d,50,45000
MED-00309,Insulin,Expiring≤60d,50,45000
MED-00310,Insulin,Expiring≤60d,50,45000
MED-00311,Insulin,Expiring≤60d,50,45000
MED-00312,Insulin,Expiring≤60d,50,45000
MED-00313,Insulin,Expiring≤60d,50,45000
MED-00314,Insulin,Expiring≤60d,50,45000
MED-00315,Insulin,Expiring≤60d,50,45000
MED-00316,Insulin,Expiring≤60d,50,45000
MED-00317,Insulin,Expiring≤60d,50,45000
MED-00318,Insulin,Expiring≤60d,50,45000
MED-00319,Insulin,Expiring≤60d,50,45000
MED-00320,Insulin,Expiring≤60d,50,45000
MED-00321,Insulin,Expiring≤60d,50,45000
MED-00322,Insulin,Expiring≤60d,50,45000
MED-00323,Insulin,Expiring≤60d,50,45000
MED-00324,Insulin,Expiring≤60d,50,45000
MED-00325,Insulin,Expiring≤60d,50,45000
MED-00326,Insulin,Expiring≤60d,50,45000
MED-00327,Insulin,Expiring≤60d,50,45000
MED-00328,Insulin,Expiring≤60d,50,45000
MED-00329,Insulin,Expiring≤60d,50,45000
MED-00330,Insulin,Expiring≤60d,50,45000
MED-00331,Insulin,Expiring≤60d,50,45000
MED-00332,Insulin,Expiring≤60d,50,45000
MED-00333,Insulin,Expiring≤60d,50,45000
MED-00334,Insulin,Expiring≤60d,50,45000
MED-00335,Insulin,Expiring≤60d,50,45000
MED-00336,Insulin,Expiring≤60d,50,45000
MED-00337,Insulin,Expiring≤60d,50,45000
MED-00338,Insulin,Expiring≤60d,50,45000
MED-00339,Insulin,Expiring≤60d,50,45000
MED-00340,Insulin,Expiring≤60d,50,45000
MED-00341,Insulin,Expiring≤60d,50,45000
MED-00342,Insulin,Expiring≤60d,50,45000
MED-00343,Insulin,Expiring≤60d,50,45000
MED-00344,Insulin,Expiring≤60d,50,45000
MED-00345,Insulin,Expiring≤60d,50,45000
MED-00346,Insulin,Expiring≤60d,50,45000
MED-00347,Insulin,Expiring≤60d,50,45000
MED-00348,Insulin,Expiring≤60d,50,45000
MED-00349,Insulin,Expiring≤60d,50,45000
MED-00350,Insulin,Expiring≤60d,50,45000
MED-00351,Insulin,Expiring≤60d,50,45000
MED-00352,Insulin,Expiring≤60d,50,45000
MED-00353,Insulin,Expiring≤60d,50,45000
MED-00354,Insulin,Expiring≤60d,50,45000
MED-00355,Insulin,Expiring≤60d,50,45000
MED-00356,Insulin,Expiring≤60d,50,45000
MED-00357,Insulin,Expiring≤60d,50,45000
MED-00358,Insulin,Expiring≤60d,50,45000
MED-00359,Insulin,Expiring≤60d,50,45000
MED-00360,Insulin,Expiring≤60d,50,45000
MED-00361,Insulin,Expiring≤60d,50,45000
MED-00362,Insulin,Expiring≤60d,50,45000
MED-00363,Insulin,Expiring≤60d,50,45000
MED-00364,Insulin,Expiring≤60d,50,45000
MED-00365,Insulin,Expiring≤60d,50,45000
MED-00366,Insulin,Expiring≤60d,50,45000
MED-00367,Insulin,Expiring≤60d,50,45000
MED-00368,Insulin,Expiring≤60d,50,45000
MED-00369,Insulin,Expiring≤60d,50,45000
MED-00370,Insulin,Expiring≤60d,50,45000
MED-00371,Insulin,Watch,50,45000
MED-00372,Insulin,Watch,50,45000
MED-00373,Insulin,Watch,50,45000
MED-00374,Insulin,Watch,50,45000
MED-00375,Insulin,Watch,50,45000
MED-00376,Insulin,Watch,50,45000
MED-00377,Insulin,Watch,50,45000
MED-00378,Insulin,Watch,50,45000
MED-00379,Insulin,Watch,50,45000
MED-00380,Insulin,Watch,50,45000
MED-00381,Insulin,Watch,50,45000
MED-00382,Insulin,Watch,50,45000
MED-00383,Insulin,Watch,50,45000
MED-00384,Insulin,Watch,50,45000
MED-00385,Insulin,Watch,50,45000
MED-00386,Insulin,Watch,50,45000
MED-00387,Insulin,Watch,50,45000
MED-00388,Insulin,Watch,50,45000
MED-00389,Insulin,Watch,50,45000
MED-00390,Insulin,Watch,50,45000
MED-00391,Insulin,Watch,50,45000
MED-00392,Insulin,Watch,50,45000
MED-00393,Insulin,Watch,50,45000
MED-00394,Insulin,Watch,50,45000
MED-00395,Insulin,Watch,50,45000
MED-00396,Insulin,Watch,50,45000
MED-00397,Insulin,Watch,50,45000
MED-00398,Insulin,Watch,50,45000
MED-00399,Insulin,Watch,50,45000
MED-00400,Insulin,Watch,50,45000
MED-00401,Insulin,Watch,50,45000
MED-00402,Insulin,Watch,50,45000
MED-00403,Insulin,Watch,50,45000
MED-00404,Insulin,Watch,50,45000
MED-00405,Insulin,Watch,50,45000
MED-00406,Insulin,Watch,50,45000
MED-00407,Insulin,Watch,50,45000
MED-00408,Insulin,Watch,50,45000
MED-00409,Insulin,Watch,50,45000
MED-00410,Insulin,Watch,50,45000
MED-00411,Insulin,Watch,50,45000
MED-00412,Insulin,Watch,50,45000
MED-00413,Insulin,Watch,50,45000
MED-00414,Insulin,Watch,50,45000
MED-00415,Insulin,Watch,50,45000
MED-00416,Insulin,Watch,50,45000
MED-00417,Insulin,Watch,50,45000
MED-00418,Insulin,Watch,50,45000
MED-00419,Insulin,Watch,50,45000
