bu,quarter,revenue_cr,ebitda_cr,customers,nps
Apex Bank,2016Q4,2.36,0.52,7043,48
Apex Mart,2016Q4,15.33,1.84,5081,52
Apex Care,2016Q4,29.47,2.95,19277,45
Apex Logistics,2016Q4,3.08,0.43,20000,50
Apex Bank,2017Q1,2.65,0.58,7043,48
Apex Mart,2017Q1,15.33,1.84,5081,52
Apex Care,2017Q1,32.42,3.24,19277,45
Apex Logistics,2017Q1,3.09,0.43,20000,50
Apex Bank,2017Q2,2.94,0.65,7043,48
Apex Mart,2017Q2,15.33,1.84,5081,52
Apex Care,2017Q2,35.37,3.54,19277,45
Apex Logistics,2017Q2,3.25,0.46,20000,50
Apex Bank,2017Q3,2.36,0.52,7043,48
Apex Mart,2017Q3,15.33,1.84,5081,52
Apex Care,2017Q3,38.32,3.83,19277,45
Apex Logistics,2017Q3,3.23,0.45,20000,50
Apex Bank,2017Q4,2.65,0.58,7043,48
Apex Mart,2017Q4,15.33,1.84,5081,52
Apex Care,2017Q4,29.47,2.95,19277,45
Apex Logistics,2017Q4,2.3,0.32,20000,50
Apex Bank,2018Q1,2.94,0.65,7043,48
Apex Mart,2018Q1,15.33,1.84,5081,52
Apex Care,2018Q1,32.42,3.24,19277,45
Apex Logistics,2018Q1,0.36,0.05,20000,50
