sku,category,units,revenue,avg_price,daily_demand,days_of_cover,on_hand,inventory_turns,stock_status,value_inr
Field & Stream Sportsman 16 Gun Fire Safe,Fishing,17325,6929653.690575,399.980011,47.465753424657535,28.0,1329.0,13.04,Healthy,44120595.07
Perfect Fitness Perfect Rip Deck,Cleats,73698,4421143.14353786,59.990001680000006,201.91232876712328,21.0,4240.0,17.38,Healthy,21111681.39
Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,13729,4118425.571019,299.980011,37.61369863013699,5.0,188.0,73.0,Risk-stockout,4680888.09
Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,36680,3667633.19662996,99.98999786,100.4931506849315,42.0,4221.0,8.69,Healthy,35030795.82
Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,62956,3147800.0,50.0,172.48219178082192,70.0,12074.0,5.21,Overstock,50107100.0
Pelican Sunstream 100 Kayak,Water Sports,15500,3099845.08525,199.9900055,42.465753424657535,68.0,2888.0,5.37,Overstock,47938404.28
Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,22246,2891757.6623529997,129.9900055,60.94794520547945,14.0,853.0,26.07,Healthy,9203162.4
O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,57803,2888993.9135055,49.97999954,158.36438356164385,85.0,13461.0,4.29,Overstock,55840804.23
Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,31735,1269082.67110818,39.99000168,86.94520547945206,64.0,5564.0,5.7,Overstock,18467862.66
Dell Laptop,Computers,442,663000.0,1500.0,1.210958904109589,56.0,68.0,6.52,Healthy,8466000.0
Web Camera,Cameras ,592,267607.685032,452.0400085,1.621917808219178,52.0,84.0,7.02,Healthy,3151622.94
Lawn mower,Garden,484,257768.72827639998,532.5800171,1.326027397260274,51.0,68.0,7.16,Healthy,3005881.62
Children's heaters,Children's Clothing,652,232829.20397719997,357.1000061,1.7863013698630137,33.0,59.0,11.06,Healthy,1748718.73
Porcelain crafts,Crafts,484,223356.325324,461.480011,1.326027397260274,74.0,98.0,4.93,Overstock,3753678.41
Summer dresses,Women's Clothing,650,140283.00474499998,215.8200073,1.7808219178082192,44.0,78.0,8.3,Healthy,1397218.73
Smart watch ,Sporting Goods,357,117006.75,327.75,0.9780821917808219,63.0,62.0,5.79,Overstock,1686601.5
Rock music,Music,434,113122.09735260002,260.6499939,1.189041095890411,50.0,59.0,7.3,Healthy,1276403.02
Industrial consumer electronics,Consumer Electronics,431,108991.2821119,252.8800049,1.180821917808219,26.0,31.0,14.04,Healthy,650660.25
First aid kit,Health and Beauty,362,106080.483077,293.0400085,0.9917808219178083,47.0,47.0,7.77,Healthy,1143149.07
DVDs ,DVDs,483,79395.5423667,164.3800049,1.3232876712328767,64.0,85.0,5.7,Overstock,1159700.93
adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,969,67830.0,70.0,2.654794520547945,73.0,194.0,5.0,Overstock,1127140.0
LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,946,61490.0,65.0,2.591780821917808,55.0,143.0,6.64,Healthy,771485.0
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,939,56330.61164488,59.99000168,2.5726027397260274,87.0,224.0,4.2,Overstock,1115334.11
Titleist Pro V1x High Numbers Personalized Go,Electronics,908,47206.92146286,51.99000168,2.4876712328767123,60.0,149.0,6.08,Healthy,642960.35
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,847,46559.591034339996,54.97000122,2.3205479452054796,5.0,12.0,73.0,Risk-stockout,54750.12
Nike Men's Comfort 2 Slide,Tennis & Racquet,991,44585.09062432,44.99000168,2.7150684931506848,53.0,144.0,6.89,Healthy,537720.5
Titleist Pro V1 High Numbers Personalized Gol,Electronics,851,44243.491382600005,51.99000168,2.3315068493150686,36.0,84.0,10.14,Healthy,362474.29
Men's gala suit,Men's Clothing,208,43856.8012688,210.8500061,0.5698630136986301,57.0,32.0,6.4,Healthy,560017.62
Adult dog supplies,Pet Supplies,492,41524.80075276,84.40000153,1.347945205479452,69.0,93.0,5.29,Overstock,651483.61
Titleist Pro V1x Golf Balls,Electronics,863,41415.37052844,47.99000168,2.3643835616438356,52.0,123.0,7.02,Healthy,489929.93
Titleist Pro V1x High Numbers Golf Balls,Electronics,800,38392.00052236,47.99000168,2.191780821917808,7.0,15.0,52.14,Healthy,59747.55
