shipment_id,order_id,ship_date,route,category,otif,late_flag,gmv_inr,shipping_mode
SH-005071,2805,2015-02-16 22:21:00,LATAM · Caribbean,Golf Balls,0,1,6636.68,Standard Class
SH-002611,37771,2016-07-07 08:30:00,USCA · East of USA,Indoor/Outdoor Games,1,0,16593.36,Second Class
SH-018837,62562,2017-07-05 05:54:00,Europe · Western Europe,Cleats,1,0,14937.51,Standard Class
SH-000283,6959,2015-04-17 13:41:00,LATAM · Central America,Men's Footwear,0,1,10789.17,Second Class
SH-012596,7700,2015-04-29 09:18:00,LATAM · Central America,Women's Apparel,0,1,4150.0,Standard Class
SH-014250,40395,2016-08-18 15:49:00,Other,Women's Apparel,0,1,4150.0,Second Class
SH-003539,39130,2016-07-27 04:37:00,Other,Water Sports,0,1,16599.17,First Class
SH-000999,41808,2016-09-06 06:51:00,Other,Electronics,1,0,7965.51,Standard Class
SH-002160,29830,2016-03-17 10:25:00,Pacific Asia · Southeast Asia,Indoor/Outdoor Games,0,1,12445.02,Standard Class
SH-021129,17920,2015-09-25 13:49:00,Europe · Southern Europe,Cleats,0,1,14937.51,Standard Class
SH-000093,30871,2016-03-28 15:08:00,Pacific Asia · Oceania,Cardio Equipment,1,0,41495.85,Standard Class
SH-017513,16125,2015-08-30 08:57:00,Europe · Northern Europe,Men's Footwear,0,1,10789.17,Standard Class
SH-002246,76003,2018-01-16 10:53:00,Pacific Asia · Eastern Asia,Toys,0,1,957.82,First Class
SH-008265,16983,2015-09-07 21:33:00,Europe · Western Europe,Men's Footwear,0,1,10789.17,First Class
SH-002900,8594,2015-05-11 10:30:00,LATAM · Central America,Women's Apparel,0,1,20750.0,Standard Class
SH-008484,73817,2017-12-16 13:01:00,Pacific Asia · Eastern Asia,Women's Clothing,1,0,17913.06,Standard Class
SH-001915,67552,2017-09-16 02:07:00,Europe · Northern Europe,Kids' Golf Clubs,0,1,24899.17,Second Class
SH-000652,29131,2016-03-03 05:32:00,Pacific Asia · Southeast Asia,Men's Footwear,1,0,10789.17,Standard Class
SH-021648,14707,2015-08-06 16:10:00,Europe · Western Europe,Fishing,1,0,33198.34,Standard Class
SH-020925,52665,2017-02-13 18:32:00,LATAM · Central America,Cleats,0,1,9958.34,Standard Class
SH-000383,67747,2017-09-18 22:26:00,Europe · Northern Europe,Camping & Hiking,0,1,24898.34,Second Class
SH-012562,16421,2015-08-30 16:39:00,Europe · Southern Europe,Accessories,1,0,10370.85,Standard Class
SH-012587,65814,2017-08-23 17:13:00,Europe · Northern Europe,Water Sports,0,1,16599.17,Second Class
SH-013192,70459,2017-10-30 12:34:00,Europe · Western Europe,Children's Clothing,0,1,29639.3,Standard Class
SH-020856,376,2015-01-08 11:22:00,LATAM · Caribbean,Women's Apparel,1,0,8300.0,Second Class
SH-021513,70710,2017-10-29 16:30:00,Europe · Northern Europe,Computers,1,0,124500.0,Same Day
SH-007237,22456,2015-11-26 18:59:00,Pacific Asia · Southeast Asia,Shop By Sport,1,0,9957.51,Second Class
SH-001808,7559,2015-04-26 07:54:00,LATAM · Caribbean,Cardio Equipment,0,1,16598.34,Standard Class
SH-012721,43521,2016-09-29 06:59:00,Other,Cleats,1,0,19916.68,Standard Class
SH-014311,50334,2017-01-09 17:53:00,Other,Fishing,0,1,33198.34,Standard Class
SH-019055,46510,2016-11-11 22:10:00,Other,Cardio Equipment,0,1,41495.85,First Class
SH-013480,43848,2016-10-04 01:33:00,Other,Cleats,0,1,24895.85,First Class
SH-012271,7191,2015-04-17 22:58:00,LATAM · Central America,Men's Footwear,0,1,10789.17,First Class
SH-020879,56813,2017-04-11 07:46:00,LATAM · South America,Women's Apparel,0,1,20750.0,First Class
