market,demand_index,competition_index,infra_readiness,talent_index,regulatory_ease,composite_score,recommendation
Central America,94.7,78.6,47.4,41.0,71.0,85.0,Enter
Western Europe,100.0,100.0,13.1,69.6,56.6,80.1,Enter
Northern Europe,13.9,17.8,69.7,86.3,41.8,72.3,Enter
South America,32.4,32.7,61.4,56.0,46.9,71.2,Enter
Southern Europe,11.4,15.0,59.0,100.0,35.2,70.7,Enter
Caribbean,2.2,2.0,100.0,17.4,51.1,67.2,Pilot
West of USA ,0.4,0.0,72.3,16.9,36.4,58.9,Pilot
Oceania,10.7,31.0,70.4,0.0,40.6,57.1,Pilot
Southeast Asia,8.7,32.1,23.1,49.8,15.9,50.6,Watch
South Asia,0.0,14.2,0.0,34.2,0.0,40.0,Watch
