session_id,channel,viewed,added,checkout,paid,abandon_reason
S-000001,Web,1,0,0,0,
S-000002,App,1,1,1,1,
S-000003,App,1,0,0,0,
S-000004,Web,1,1,1,1,
S-000005,Web,1,1,0,0,stock_out
S-000006,Web,1,1,1,1,
S-000007,Store,1,1,1,1,
S-000008,Web,1,1,0,0,shipping_cost
S-000009,App,1,0,0,0,
S-000010,App,1,0,0,0,
S-000011,Store,1,0,0,0,
S-000012,App,1,1,0,0,checkout_friction
S-000013,Web,1,0,0,0,
S-000014,App,1,1,0,0,changed_mind
S-000015,App,1,1,1,1,
S-000016,Store,1,0,0,0,
S-000017,Web,1,1,0,0,payment_fail
S-000018,App,1,1,0,0,checkout_friction
S-000019,Web,1,0,0,0,
S-000020,Web,1,1,0,0,stock_out
S-000021,App,1,1,1,1,
S-000022,Web,1,1,1,1,
S-000023,Web,1,1,0,0,stock_out
S-000024,Web,1,1,1,1,
S-000025,Web,1,0,0,0,
S-000026,Web,1,1,1,1,
S-000027,Web,1,1,0,0,payment_fail
S-000028,App,1,1,1,1,
S-000029,Web,1,0,0,0,
S-000030,Web,1,1,1,1,
S-000031,Web,1,0,0,0,
S-000032,Web,1,1,0,0,shipping_cost
S-000033,Web,1,1,0,0,shipping_cost
S-000034,App,1,1,0,0,checkout_friction
S-000035,Web,1,1,0,0,changed_mind
S-000036,Web,1,1,1,1,
S-000037,Web,1,1,1,1,
S-000038,Web,1,1,1,1,
S-000039,Web,1,1,1,1,
S-000040,App,1,1,1,1,
S-000041,App,1,1,0,0,stock_out
S-000042,Web,1,1,1,1,
S-000043,Web,1,1,1,1,
S-000044,Web,1,1,1,1,
S-000045,Web,1,1,0,0,shipping_cost
S-000046,App,1,1,0,0,payment_fail
S-000047,App,1,1,0,0,changed_mind
S-000048,Web,1,1,0,0,payment_fail
S-000049,Web,1,1,0,0,stock_out
S-000050,Web,1,0,0,0,
S-000051,App,1,1,1,1,
S-000052,App,1,1,1,1,
S-000053,Web,1,1,0,0,changed_mind
S-000054,Web,1,1,1,1,
S-000055,Web,1,1,0,0,stock_out
S-000056,App,1,1,0,0,shipping_cost
S-000057,Web,1,1,1,1,
S-000058,Web,1,1,0,0,checkout_friction
S-000059,Web,1,1,0,0,checkout_friction
S-000060,Web,1,0,0,0,
S-000061,App,1,1,1,1,
S-000062,Web,1,1,1,1,
S-000063,App,1,0,0,0,
S-000064,Web,1,1,1,1,
S-000065,Web,1,1,1,1,
S-000066,Web,1,1,0,0,stock_out
S-000067,Store,1,0,0,0,
S-000068,App,1,1,1,1,
S-000069,Web,1,0,0,0,
S-000070,App,1,0,0,0,
S-000071,Web,1,1,1,1,
S-000072,App,1,1,0,0,payment_fail
S-000073,Web,1,0,0,0,
S-000074,Web,1,1,1,1,
S-000075,Web,1,1,0,0,shipping_cost
S-000076,Web,1,1,0,0,payment_fail
S-000077,Web,1,1,0,0,payment_fail
S-000078,Store,1,1,0,0,changed_mind
S-000079,Web,1,1,1,1,
S-000080,App,1,1,1,1,
S-000081,Web,1,1,1,1,
S-000082,App,1,1,0,0,stock_out
S-000083,Web,1,1,0,0,checkout_friction
S-000084,App,1,1,1,1,
S-000085,Web,1,1,0,0,shipping_cost
S-000086,App,1,1,1,1,
S-000087,Web,1,1,1,1,
S-000088,Web,1,1,0,0,shipping_cost
S-000089,Web,1,1,0,0,shipping_cost
S-000090,Web,1,1,1,1,
S-000091,Web,1,0,0,0,
S-000092,Web,1,1,0,0,payment_fail
S-000093,Web,1,1,0,0,payment_fail
S-000094,App,1,1,0,0,shipping_cost
S-000095,Web,1,1,1,1,
S-000096,Web,1,0,0,0,
S-000097,Web,1,1,0,0,payment_fail
S-000098,App,1,1,0,0,changed_mind
S-000099,Web,1,0,0,0,
S-000100,Web,1,1,0,0,shipping_cost
S-000101,Web,1,0,0,0,
S-000102,App,1,0,0,0,
S-000103,Web,1,0,0,0,
S-000104,App,1,1,1,1,
S-000105,Web,1,1,0,0,stock_out
S-000106,Web,1,1,1,1,
S-000107,Web,1,1,1,1,
S-000108,Web,1,1,0,0,stock_out
S-000109,Web,1,1,0,0,shipping_cost
