order_id,order_date,customer_id,country,city,category,gmv_inr,status,ship_hours,promised_hours,late_flag
72139,2017-11-19 01:09:00,15692,China,Other,Other,24322.32,Delivered,120,48,1
44835,2016-10-16 11:20:00,6652,Suazilandia,Other,Water Sports,16599.17,Delivered,144,96,1
1485,2015-01-22 15:54:00,10870,México,Other,Women's Apparel,8300.0,Delivered,144,96,1
40998,2016-08-21 11:04:00,10701,Estados Unidos,Other,Indoor/Outdoor Games,4148.34,Delivered,96,96,0
56372,2017-04-02 21:16:00,10382,Panamá,Panama City,Electronics,5310.34,Delivered,24,0,1
9684,2015-05-22 08:23:00,11160,México,Other,Camping & Hiking,24898.34,Delivered,48,24,1
18168,2015-09-23 04:42:00,8757,Francia,Other,Cleats,19916.68,Delivered,96,96,0
52552,2017-02-06 02:57:00,4708,República Dominicana,Santo Domingo,Fishing,33198.34,Delivered,72,96,0
27221,2016-02-02 08:22:00,5266,China,Other,Other,6635.85,Delivered,48,96,0
34571,2016-05-19 15:24:00,4551,Estados Unidos,Other,Camping & Hiking,24898.34,Delivered,48,96,0
49702,2016-12-26 12:28:00,10806,Turquía,Other,Cleats,9958.34,Delivered,48,24,1
20274,2015-10-23 22:32:00,7392,Países Bajos,Other,Women's Apparel,8300.0,Delivered,120,96,1
59818,2017-05-23 04:33:00,2851,México,Other,Cleats,24895.85,Delivered,96,48,1
32653,2016-04-21 15:27:00,5313,Estados Unidos,Houston,Cleats,4979.17,Delivered,96,96,0
46855,2016-11-14 23:02:00,1895,Mozambique,Other,Fishing,33198.34,Delivered,144,96,1
51854,2017-01-26 22:24:00,9143,Cuba,Other,Accessories,2074.17,Delivered,120,96,1
62200,2017-06-26 23:04:00,9436,Francia,Paris,Cleats,14937.51,Delivered,144,96,1
22856,2015-11-30 15:07:00,9853,Pakistán,Other,Indoor/Outdoor Games,12445.02,Delivered,48,96,0
64363,2017-07-28 12:52:00,1986,España,Other,Men's Footwear,10789.17,Delivered,96,48,1
59616,2017-05-20 05:47:00,3455,República Dominicana,Santo Domingo,Women's Apparel,16600.0,Delivered,48,48,0
2436,2015-02-05 13:05:00,10851,Guatemala,Other,Men's Footwear,10789.17,Delivered,48,24,1
5706,2015-03-25 06:42:00,2669,Nicaragua,Other,Fishing,33198.34,Delivered,48,48,0
10459,2015-06-02 15:54:00,9814,Alemania,Berlín,Cardio Equipment,33196.68,Delivered,120,96,1
790,2015-01-12 12:25:00,103,Bolivia,Other,Women's Apparel,12450.0,Delivered,144,96,1
45,2015-01-01 15:24:00,2636,México,Other,Cleats,4979.17,Delivered,144,96,1
10792,2015-06-07 12:34:00,3552,Francia,Other,Cleats,9958.34,Delivered,72,96,0
44631,2016-10-13 11:52:00,2774,Turquía,Other,Men's Footwear,10789.17,Delivered,48,24,1
2681,2015-02-09 02:55:00,12049,Cuba,Other,Cardio Equipment,16598.34,Delivered,48,24,1
41735,2016-09-01 05:16:00,7114,Argelia,Other,Cardio Equipment,2490.0,Delivered,0,0,0
47138,2016-11-19 02:11:00,2429,SudAfrica,Other,Water Sports,16599.17,Delivered,96,96,0
53919,2017-02-26 01:52:00,10849,Colombia,Other,Water Sports,16599.17,Delivered,120,96,1
57653,2017-04-21 14:03:00,3464,Jamaica,Other,Cleats,19916.68,Delivered,96,48,1
37657,2016-07-03 16:34:00,3823,Estados Unidos,Los Angeles,Men's Footwear,10789.17,Delivered,72,96,0
17307,2015-09-10 15:03:00,843,Suiza,Other,Cleats,19916.68,Delivered,72,96,0
4145,2015-03-02 11:49:00,11675,México,Other,Men's Footwear,10789.17,Delivered,0,0,0
4690,2015-03-10 10:45:00,61,Brasil,Other,Cleats,14937.51,Delivered,144,96,1
22962,2015-12-02 04:15:00,465,Australia,Perth,Fishing,33198.34,Delivered,72,96,0
41959,2016-09-04 11:45:00,11006,Canada,Other,Women's Apparel,12450.0,Delivered,120,96,1
3648,2015-02-23 05:42:00,296,República Dominicana,Santo Domingo,Men's Footwear,10789.17,Delivered,96,48,1
8851,2015-05-10 04:32:00,10079,Argentina,Buenos Aires,Cleats,14937.51,Delivered,48,96,0
20496,2015-10-27 04:18:00,9070,China,Other,Shop By Sport,3319.17,Delivered,48,96,0
30918,2016-03-27 07:36:00,5489,Nueva Zelanda,Other,Men's Footwear,10789.17,Delivered,96,48,1
38922,2016-07-22 03:45:00,6125,Estados Unidos,Other,Camping & Hiking,24898.34,Delivered,72,96,0
32242,2016-04-15 15:27:00,8631,Estados Unidos,Seattle,Fishing,33198.34,Delivered,48,24,0
42380,2016-09-10 15:15:00,9972,Rusia,Other,Water Sports,16599.17,Delivered,48,24,1
49242,2016-12-19 19:18:00,11553,Turquía,Other,Women's Apparel,20750.0,Delivered,72,96,0
17719,2015-09-16 15:24:00,2439,Italia,Other,Cardio Equipment,8299.17,Delivered,120,48,1
50609,2017-01-08 18:14:00,4038,Costa de Marfil,Other,Cleats,19916.68,Delivered,120,96,1
34913,2016-05-24 15:13:00,7069,Estados Unidos,Philadelphia,Electronics,7965.51,Delivered,96,96,0
30457,2016-03-20 14:05:00,5762,Australia,Other,Water Sports,16599.17,Delivered,72,96,0
35114,2016-05-27 13:38:00,11777,Estados Unidos,Other,Cardio Equipment,24897.51,Delivered,120,48,1
49650,2016-12-25 18:15:00,5812,Senegal,Other,Women's Apparel,4150.0,Delivered,144,48,1
60353,2017-05-30 23:59:00,7851,Guatemala,Mixco,Cleats,19916.68,Delivered,96,96,0
68044,2017-09-20 06:29:00,3446,Francia,Other,Men's Footwear,10789.17,Delivered,120,48,1
59894,2017-05-24 07:11:00,7122,Cuba,Santiago de Cuba,Indoor/Outdoor Games,4148.34,Delivered,0,0,0
39935,2016-08-05 22:39:00,8695,Estados Unidos,Other,Women's Apparel,12450.0,Delivered,24,0,1
34373,2016-05-16 18:02:00,8851,Estados Unidos,Other,Men's Footwear,10789.17,Delivered,96,96,0
52748,2017-02-08 23:37:00,6572,Guatemala,Other,Cleats,9958.34,Delivered,24,0,1
17766,2015-09-17 07:52:00,10863,Francia,Other,Cleats,4979.17,Delivered,48,96,0
53199,2017-02-15 13:37:00,1042,República Dominicana,Santo Domingo,Water Sports,16599.17,Delivered,120,96,1
74244,2017-12-19 18:37:00,17797,Australia,Other,Other,937.07,Delivered,120,48,1
68011,2017-09-19 18:55:00,5504,Francia,Other,Women's Apparel,16600.0,Delivered,48,96,0
