order_id,order_date,customer_id,country,city,category,gmv_inr,status,ship_hours,promised_hours,late_flag
521945,2010-09-09 16:54:00,16095.0,United Kingdom,United Kingdom,General,46940.25,Delivered,43.0,48,0
523552,2010-09-22 15:07:00,,United Kingdom,United Kingdom,General,23936.85,Delivered,52.0,48,1
494014,2010-01-11 09:33:00,,United Kingdom,United Kingdom,General,131973.45,Delivered,41.0,48,0
512421,2010-06-15 14:32:00,16779.0,United Kingdom,United Kingdom,General,22785.0,Delivered,36.0,48,0
560025,2011-07-14 13:00:00,18283.0,United Kingdom,United Kingdom,Home,14772.45,Delivered,65.0,48,1
565791,2011-09-07 09:33:00,16029.0,United Kingdom,United Kingdom,General,19908.0,Delivered,59.0,48,1
522415,2010-09-14 12:06:00,16746.0,United Kingdom,United Kingdom,Bags,90069.0,Delivered,40.0,48,0
554265,2011-05-23 12:38:00,,United Kingdom,United Kingdom,General,3468.15,Delivered,45.0,48,0
579407,2011-11-29 12:32:00,13657.0,United Kingdom,United Kingdom,Stationery,24129.0,Delivered,54.0,48,1
571306,2011-10-17 09:57:00,16701.0,United Kingdom,United Kingdom,Stationery,75658.8,Delivered,29.0,48,0
557221,2011-06-17 13:01:00,16869.0,United Kingdom,United Kingdom,General,24520.65,Delivered,64.0,48,1
571475,2011-10-17 14:42:00,15033.0,United Kingdom,United Kingdom,Decor,36159.9,Delivered,47.0,48,0
521839,2010-09-09 10:50:00,12635.0,Germany,Germany,General,76789.65,Delivered,111.0,120,0
562257,2011-08-03 15:14:00,17848.0,United Kingdom,United Kingdom,Stationery,15615.6,Delivered,52.0,48,1
552229,2011-05-06 15:40:00,,United Kingdom,United Kingdom,Stationery,159072.9,Delivered,52.0,48,1
558479,2011-06-29 16:44:00,17837.0,United Kingdom,United Kingdom,General,12579.0,Delivered,63.0,48,1
560914,2011-07-21 18:08:00,17175.0,United Kingdom,United Kingdom,Decor,32647.65,Delivered,26.0,48,0
512567,2010-06-16 14:41:00,14619.0,United Kingdom,United Kingdom,General,94164.0,Delivered,27.0,48,0
543046,2011-02-03 09:37:00,13873.0,United Kingdom,United Kingdom,General,12752.25,Delivered,37.0,48,0
557644,2011-06-21 17:06:00,,United Kingdom,United Kingdom,General,127683.15,Delivered,65.0,48,1
545027,2011-02-25 14:59:00,,United Kingdom,United Kingdom,General,123952.5,Delivered,53.0,48,1
528619,2010-10-24 10:33:00,17139.0,United Kingdom,United Kingdom,General,34476.75,Delivered,28.0,48,0
527935,2010-10-19 13:38:00,16719.0,United Kingdom,United Kingdom,Kitchen,20637.75,Delivered,56.0,48,1
492436,2009-12-17 10:22:00,18186.0,United Kingdom,United Kingdom,Bags,34605.9,Delivered,48.0,48,0
557858,2011-06-23 11:51:00,14159.0,United Kingdom,United Kingdom,Decor,32831.4,Delivered,50.0,48,1
560861,2011-07-21 13:37:00,17660.0,United Kingdom,United Kingdom,Decor,20580.0,Delivered,64.0,48,1
570430,2011-10-10 14:25:00,15886.0,United Kingdom,United Kingdom,Home,19014.45,Delivered,59.0,48,1
544680,2011-02-22 16:19:00,13077.0,United Kingdom,United Kingdom,Stationery,1008.0,Delivered,61.0,48,1
510429,2010-05-30 12:55:00,17618.0,United Kingdom,United Kingdom,Kitchen,28068.6,Delivered,63.0,48,1
533154,2010-11-16 14:01:00,13458.0,United Kingdom,United Kingdom,General,138844.65,Delivered,50.0,48,1
545466,2011-03-03 09:26:00,18102.0,United Kingdom,United Kingdom,General,146580.0,Delivered,34.0,48,0
507121,2010-05-06 11:49:00,13772.0,United Kingdom,United Kingdom,Decor,28295.4,Delivered,62.0,48,1
512927,2010-06-20 10:55:00,16326.0,United Kingdom,United Kingdom,General,20118.0,Delivered,35.0,48,0
512439,2010-06-15 16:31:00,17364.0,United Kingdom,United Kingdom,General,43327.2,Delivered,35.0,48,0
543325,2011-02-07 12:22:00,17692.0,United Kingdom,United Kingdom,General,11623.5,Delivered,30.0,48,0
542867,2011-02-01 12:22:00,,United Kingdom,United Kingdom,Decor,14120.4,Delivered,32.0,48,0
501706,2010-03-19 09:53:00,13089.0,United Kingdom,United Kingdom,General,18333.0,Delivered,48.0,48,0
519673,2010-08-19 12:23:00,17666.0,United Kingdom,United Kingdom,General,73206.0,Delivered,64.0,48,1
538807,2010-12-14 12:06:00,17194.0,United Kingdom,United Kingdom,General,26525.1,Delivered,37.0,48,0
521478,2010-09-06 12:55:00,17841.0,United Kingdom,United Kingdom,General,37349.55,Delivered,62.0,48,1
516468,2010-07-20 15:06:00,17578.0,United Kingdom,United Kingdom,General,1795.5,Delivered,26.0,48,0
496706,2010-02-03 13:34:00,15874.0,United Kingdom,United Kingdom,Home,74618.25,Delivered,52.0,48,1
533006,2010-11-15 15:10:00,14157.0,United Kingdom,United Kingdom,Kitchen,22239.0,Delivered,55.0,48,1
574745,2011-11-07 08:26:00,14911.0,EIRE,EIRE,Home,23167.2,Delivered,109.0,120,0
556241,2011-06-09 16:04:00,12597.0,Spain,Spain,Decor,95829.3,Delivered,112.0,120,0
515688,2010-07-14 12:05:00,,EIRE,EIRE,General,37341.15,Delivered,134.0,120,1
511585,2010-06-09 10:52:00,13502.0,United Kingdom,United Kingdom,General,32329.5,Delivered,58.0,48,1
569009,2011-09-29 19:30:00,15984.0,United Kingdom,United Kingdom,Bags,25536.0,Delivered,37.0,48,0
533597,2010-11-18 12:21:00,15353.0,United Kingdom,United Kingdom,Decor,49285.95,Delivered,52.0,48,1
531135,2010-11-05 14:09:00,16919.0,United Kingdom,United Kingdom,General,25500.3,Delivered,38.0,48,0
536831,2010-12-02 17:40:00,16029.0,United Kingdom,United Kingdom,General,119574.0,Delivered,51.0,48,1
494612,2010-01-15 13:15:00,15311.0,United Kingdom,United Kingdom,Kitchen,15555.75,Delivered,38.0,48,0
552312,2011-05-08 15:58:00,13427.0,United Kingdom,United Kingdom,Decor,22522.5,Delivered,62.0,48,1
574935,2011-11-07 16:54:00,13199.0,United Kingdom,United Kingdom,Home,31609.2,Delivered,64.0,48,1
509936,2010-05-26 12:38:00,,United Kingdom,United Kingdom,Bags,13067.25,Delivered,58.0,48,1
517193,2010-07-27 11:37:00,13078.0,United Kingdom,United Kingdom,General,33066.6,Delivered,42.0,48,0
492181,2009-12-15 15:36:00,13393.0,United Kingdom,United Kingdom,Home,39981.9,Delivered,65.0,48,1
521314,2010-09-03 11:59:00,17949.0,United Kingdom,United Kingdom,General,82782.0,Delivered,63.0,48,1
543977,2011-02-14 15:35:00,15615.0,United Kingdom,United Kingdom,Bags,74582.55,Delivered,50.0,48,1
558523,2011-06-30 10:44:00,17949.0,United Kingdom,United Kingdom,Kitchen,234286.5,Delivered,55.0,48,1
537052,2010-12-05 11:15:00,16839.0,United Kingdom,United Kingdom,Home,115970.4,Delivered,61.0,48,1
554860,2011-05-27 10:20:00,15249.0,United Kingdom,United Kingdom,General,57580.95,Delivered,26.0,48,0
580101,2011-12-01 15:12:00,15144.0,United Kingdom,United Kingdom,General,55219.5,Delivered,26.0,48,0
496399,2010-02-01 11:55:00,15416.0,United Kingdom,United Kingdom,General,40848.15,Delivered,47.0,48,0
546919,2011-03-18 09:55:00,12500.0,Germany,Germany,General,25351.2,Delivered,135.0,120,1
494476,2010-01-14 15:24:00,15222.0,United Kingdom,United Kingdom,Decor,38606.4,Delivered,63.0,48,1
513779,2010-06-28 14:06:00,14282.0,United Kingdom,United Kingdom,Bags,27599.25,Delivered,65.0,48,1
578119,2011-11-23 10:09:00,17769.0,United Kingdom,United Kingdom,General,7560.0,Delivered,34.0,48,0
501403,2010-03-16 11:29:00,12483.0,Sweden,Sweden,General,4914.0,Delivered,111.0,120,0
498510,2010-02-19 11:54:00,13929.0,United Kingdom,United Kingdom,General,26346.6,Delivered,42.0,48,0
502500,2010-03-25 11:09:00,15513.0,United Kingdom,United Kingdom,General,22443.75,Delivered,52.0,48,1
569577,2011-10-05 10:53:00,12828.0,United Kingdom,United Kingdom,Home,25809.0,Delivered,48.0,48,0
