Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
538576,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2010-12-13 11:29:00,8.5,14498.0,United Kingdom
531857,22569,FELTCRAFT CUSHION BUTTERFLY,4,2010-11-10 10:18:00,3.75,17644.0,United Kingdom
520672,85180B,PINK HEARTS LIGHT CHAIN ,1,2010-08-27 14:09:00,4.65,17270.0,United Kingdom
561917,21931,JUMBO STORAGE BAG SUKI,1,2011-08-01 11:57:00,2.08,16904.0,United Kingdom
507462,21936,RED RETROSPOT PICNIC BAG,10,2010-05-10 10:50:00,2.95,14404.0,United Kingdom
497405,85099B,JUMBO BAG RED WHITE SPOTTY ,10,2010-02-09 14:28:00,1.95,14735.0,United Kingdom
C548464,22846,BREAD BIN DINER STYLE RED ,-3,2011-03-31 12:14:00,14.95,13043.0,United Kingdom
529849,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-10-31 13:28:00,3.95,14114.0,United Kingdom
533962,85099C,JUMBO  BAG BAROQUE BLACK WHITE,6,2010-11-19 13:01:00,1.95,16535.0,United Kingdom
550659,21519,GIN & TONIC DIET GREETING CARD ,12,2011-04-20 09:02:00,0.42,17730.0,United Kingdom
536984,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,6,2010-12-03 14:35:00,1.25,17841.0,United Kingdom
572909,23198,PANTRY MAGNETIC  SHOPPING LIST,4,2011-10-26 15:48:00,1.45,15821.0,United Kingdom
504338,22551,PLASTERS IN TIN SPACEBOY,96,2010-04-12 16:42:00,1.45,16705.0,United Kingdom
578757,22555,PLASTERS IN TIN STRONGMAN,1,2011-11-25 11:41:00,1.65,12748.0,United Kingdom
C534845,22656,VINTAGE BLUE KITCHEN CABINET,-2,2010-11-24 13:25:00,150.0,14646.0,Netherlands
533333,22386,JUMBO BAG PINK POLKADOT,20,2010-11-16 18:07:00,1.95,16748.0,United Kingdom
564256,21165,BEWARE OF THE CAT METAL SIGN ,24,2011-08-24 10:45:00,1.69,14796.0,United Kingdom
504933,22115,METAL SIGN EMPIRE TEA,1,2010-04-19 11:13:00,5.91,,United Kingdom
573122,22508,DOORSTOP RETROSPOT HEART,2,2011-10-27 16:23:00,3.75,14357.0,United Kingdom
554108,22469,HEART OF WICKER SMALL,6,2011-05-22 14:29:00,1.65,13668.0,United Kingdom
559816,22232,JIGSAW TOADSTOOLS 3 PIECE,2,2011-07-12 16:11:00,1.25,,United Kingdom
513800,22426,ENAMEL WASH BOWL CREAM,8,2010-06-29 08:04:00,3.75,14025.0,United Kingdom
499020,22072,TEA CUP AND SAUCER RETRO SPOT,2,2010-02-24 12:19:00,3.75,14527.0,United Kingdom
