kpi,value
last_quarter_label,2018Q1
group_revenue_last_q_cr,51.05
group_ebitda_last_q_cr,5.78
bank_default_rate_pct,30.0
bank_fraud_rate_pct,2.401
bank_churn_rate_pct,26.54
mart_late_delivery_pct,55.15
mart_cart_viewed_to_paid_pct,35.0
mart_cart_checkout_to_paid_pct,89.16
rfm_champions,1028
care_readmit_30_pct,34.78
care_claims_anomaly_pct,5.01
care_expiring_60d_value_cr,0.91
logistics_mape_pct,14.69
logistics_otif_pct,44.79
logistics_avg_turns,12.28
markets_enter_count,5
high_severity_bottlenecks,6
