customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
12346.0,325,10,8138703.3,2,5,5,At Risk
12347.0,1,4,199148.25,5,4,4,Champions
12348.0,74,5,212037.0,4,4,4,Champions
12349.0,407,2,259469.7,2,2,5,Hibernating
12350.0,309,1,35112.0,2,1,2,Hibernating
12352.0,35,7,252148.05,4,5,5,Champions
12353.0,408,1,33364.8,2,1,2,Hibernating
12354.0,231,1,113337.0,2,1,4,Hibernating
12355.0,213,1,48237.0,3,1,2,Potential
12356.0,22,5,632502.15,5,4,5,Champions
12357.0,32,3,1920204.2999999998,4,3,5,Loyal
12358.0,1,5,408142.35,5,4,5,Champions
12359.0,57,4,491260.35000000003,4,4,5,Champions
12360.0,51,4,361219.94999999995,4,4,5,Champions
12361.0,681,1,11466.0,1,1,1,Hibernating
12362.0,35,9,493204.95,4,5,5,Champions
12363.0,109,2,57960.0,3,2,3,Potential
12364.0,7,2,40962.6,5,2,2,Potential
12365.0,290,2,67344.9,2,2,3,Hibernating
12366.0,633,1,52525.2,1,1,3,Hibernating
12369.0,448,2,168819.0,1,2,4,Hibernating
12370.0,274,5,316897.35,2,4,5,At Risk
12371.0,44,4,393382.5,4,4,5,Champions
12372.0,71,2,82145.7,4,2,3,Potential
12373.0,310,3,118403.25,2,3,4,At Risk
12374.0,420,2,90063.75,2,2,3,Hibernating
12376.0,389,2,52830.75,2,2,3,Hibernating
12377.0,354,1,105159.6,2,1,4,Hibernating
12378.0,129,2,568713.6,3,2,5,Potential
12379.0,81,4,170123.1,3,4,4,Loyal
12380.0,77,3,370524.0,3,3,5,Loyal
12381.0,4,5,193757.55000000002,5,4,4,Champions
12383.0,184,3,116306.4,3,3,4,Loyal
12384.0,28,2,61453.350000000006,4,2,3,Potential
12385.0,378,1,203532.0,2,1,4,Hibernating
12386.0,337,2,69384.0,2,2,3,Hibernating
12388.0,75,7,379544.55,3,5,5,Loyal
12389.0,402,2,108690.75,2,2,4,Hibernating
12391.0,597,2,179853.45,1,2,4,Hibernating
12392.0,590,1,24648.75,1,1,1,Hibernating
12393.0,71,5,203379.75,4,4,4,Champions
12394.0,63,1,93597.0,4,1,3,Potential
12395.0,65,9,390139.05,4,5,5,Champions
12397.0,134,1,127555.05,3,1,4,Potential
12399.0,118,6,155547.0,3,4,4,Loyal
12401.0,302,1,8851.5,2,1,1,Hibernating
12402.0,392,1,16343.25,2,1,1,Hibernating
12403.0,49,1,44908.5,4,1,2,Potential
12404.0,681,1,6640.2,1,1,1,Hibernating
12405.0,148,1,179590.95,3,1,4,Potential
12406.0,21,3,408230.55,5,3,5,Loyal
12407.0,133,3,72271.5,3,3,3,Loyal
12408.0,32,4,325786.65,4,4,5,Champions
12409.0,78,4,1257501.0,3,4,5,Loyal
12410.0,308,2,40779.9,2,2,2,Hibernating
12411.0,409,1,36424.5,2,1,2,Hibernating
12412.0,74,3,108707.55,4,3,4,Loyal
12413.0,401,1,25341.75,2,1,2,Hibernating
12414.0,216,4,72703.05,3,4,3,Loyal
12415.0,23,19,8653522.5,5,5,5,Champions
12416.0,656,1,21268.8,1,1,1,Hibernating
12417.0,106,12,449859.89999999997,3,5,5,Loyal
12418.0,112,2,119898.45,3,2,4,Potential
12419.0,413,1,33905.55,2,1,2,Hibernating
12421.0,114,2,32503.8,3,2,2,Potential
12422.0,95,15,503538.0,3,5,5,Loyal
12423.0,0,7,190872.15,5,5,4,Champions
12424.0,162,2,77823.9,3,2,3,Potential
12425.0,447,1,101242.05,1,1,3,Hibernating
12426.0,662,1,80060.4,1,1,3,Hibernating
12427.0,59,1,29670.9,4,1,2,Potential
12428.0,119,3,169186.5,3,3,4,Loyal
12429.0,8,7,667853.55,5,5,5,Champions
12431.0,59,16,743501.85,4,5,5,Champions
12432.0,171,2,348249.3,3,2,5,Potential
12433.0,0,4,533743.35,5,4,5,Champions
12434.0,259,2,61271.7,2,2,3,Hibernating
12435.0,267,3,788322.15,2,3,5,At Risk
12436.0,99,1,53446.05,3,1,3,Potential
12437.0,1,23,784305.9,5,5,5,Champions
12438.0,13,1,211761.9,5,1,4,Potential
12439.0,682,1,8034.6,1,1,1,Hibernating
12440.0,461,2,90216.0,1,2,3,Hibernating
12442.0,2,1,18066.3,5,1,1,Potential
12443.0,731,1,50957.55,1,1,2,Hibernating
12444.0,20,4,446080.95,5,4,5,Champions
12445.0,21,2,45672.9,5,2,2,Potential
12446.0,57,1,105242.55,4,1,4,Potential
12447.0,242,1,50031.45,2,1,2,Hibernating
12449.0,21,6,507768.44999999995,5,4,5,Champions
12450.0,172,4,62181.0,3,4,3,Loyal
12451.0,21,6,1036121.1,5,4,5,Champions
12452.0,16,2,45209.85,5,2,2,Potential
12454.0,395,2,927410.3999999999,2,2,5,Hibernating
12455.0,72,7,344782.2,4,5,5,Champions
12456.0,43,3,334009.2,4,3,5,Loyal
12457.0,65,6,225504.3,4,4,5,Champions
12458.0,70,4,186636.45,4,4,4,Champions
12459.0,604,1,47707.8,1,1,2,Hibernating
12460.0,455,1,34298.25,1,1,2,Hibernating
12463.0,52,4,141201.9,4,4,4,Champions
12464.0,9,4,87727.5,5,4,3,Loyal
12465.0,168,1,46298.7,3,1,2,Potential
12467.0,422,1,13944.0,2,1,1,Hibernating
12468.0,187,3,140826.0,3,3,4,Loyal
12469.0,522,2,322406.7,1,2,5,Hibernating
12471.0,9,51,2667903.0,5,5,5,Champions
12472.0,31,9,1026697.3500000001,4,5,5,Champions
12473.0,28,4,409299.45,4,4,5,Champions
12474.0,16,15,659129.1,5,5,5,Champions
12475.0,53,1,75954.9,4,1,3,Potential
12476.0,15,20,1167894.0,5,5,5,Champions
12477.0,55,3,852244.0499999999,4,3,5,Loyal
12479.0,10,1,55356.0,5,1,3,Potential
12480.0,27,4,333464.25,4,4,5,Champions
12481.0,22,8,649728.45,5,5,5,Champions
12482.0,575,20,1886879.4,1,5,5,At Risk
12483.0,40,12,304652.25,4,5,5,Champions
12484.0,32,6,237487.95,4,4,5,Champions
12486.0,431,1,108914.4,1,1,4,Hibernating
12488.0,75,1,58105.95,3,1,3,Potential
12489.0,335,1,35167.65,2,1,2,Hibernating
12490.0,24,12,599741.1,5,5,5,Champions
12492.0,62,2,27637.050000000003,4,2,2,Potential
12493.0,165,1,21130.2,3,1,1,Potential
12494.0,15,6,131259.45,5,4,4,Champions
12495.0,640,1,37527.0,1,1,2,Hibernating
12496.0,619,1,5548.2,1,1,1,Hibernating
12497.0,81,2,236760.3,3,2,5,Potential
12498.0,20,1,13230.0,5,1,1,Potential
12500.0,49,11,368980.5,4,5,5,Champions
12502.0,127,3,221436.6,3,3,4,Loyal
12503.0,583,1,118230.0,1,1,4,Hibernating
12504.0,416,1,17073.0,2,1,1,Hibernating
12506.0,232,1,7717.5,2,1,1,Hibernating
12507.0,155,2,61530.0,3,2,3,Potential
12508.0,28,1,28894.95,4,1,2,Potential
12510.0,142,5,270720.45,3,4,5,Loyal
12511.0,428,1,323822.1,1,1,5,Hibernating
12512.0,65,2,14493.15,4,2,1,Potential
12514.0,266,1,106856.4,2,1,4,Hibernating
12515.0,352,1,40288.5,2,1,2,Hibernating
12516.0,77,4,278105.1,3,4,5,Loyal
12517.0,27,4,218992.2,4,4,4,Champions
12519.0,63,1,35788.2,4,1,2,Potential
12520.0,78,5,276597.3,3,4,5,Loyal
12521.0,142,1,62966.4,3,1,3,Potential
12522.0,50,1,9387.0,4,1,1,Potential
12523.0,18,16,339442.95,5,5,5,Champions
12524.0,8,8,596191.05,5,5,5,Champions
12525.0,556,1,15477.0,1,1,1,Hibernating
12526.0,0,3,138249.3,5,3,4,Loyal
12527.0,81,5,77228.55,3,4,3,Loyal
12528.0,63,3,110223.75,4,3,4,Loyal
12530.0,59,6,265655.25,4,4,5,Champions
12531.0,14,2,202986.0,5,2,4,Potential
12533.0,627,2,143628.45,1,2,4,Hibernating
12534.0,130,1,114363.9,3,1,4,Potential
12535.0,91,2,75216.75,3,2,3,Potential
12536.0,42,3,1323192.15,4,3,5,Loyal
12538.0,28,1,38214.75,4,1,2,Potential
12539.0,21,5,817220.25,5,4,5,Champions
12540.0,51,18,1315554.45,4,5,5,Champions
12541.0,280,1,32802.0,2,1,2,Hibernating
12542.0,483,2,50597.399999999994,1,2,2,Hibernating
12543.0,447,1,102926.25,1,1,4,Hibernating
12544.0,35,1,39133.5,4,1,2,Potential
12546.0,46,2,121957.5,4,2,4,Potential
12547.0,197,2,23538.9,3,2,1,Potential
12549.0,577,2,34598.55,1,2,2,Hibernating
12550.0,78,1,101307.15,3,1,4,Potential
12552.0,38,1,12600.0,4,1,1,Potential
12553.0,7,6,274644.3,5,4,5,Champions
12554.0,448,1,49192.5,1,1,2,Hibernating
12555.0,681,1,13569.15,1,1,1,Hibernating
12556.0,49,2,63389.55,4,2,3,Potential
12557.0,157,4,957219.8999999999,3,4,5,Loyal
12558.0,7,1,28345.8,5,1,2,Potential
12559.0,310,2,58979.55,2,2,3,Hibernating
12560.0,4,2,208951.05,5,2,4,Potential
12561.0,302,1,25079.25,2,1,2,Hibernating
12562.0,7,4,258242.25,5,4,5,Champions
12564.0,260,1,47974.5,2,1,2,Hibernating
12565.0,288,1,15321.6,2,1,1,Hibernating
12566.0,85,1,36923.25,3,1,2,Potential
12567.0,95,8,571880.4,3,5,5,Loyal
12568.0,644,1,7350.0,1,1,1,Hibernating
12569.0,1,17,213879.75,5,5,4,Champions
12570.0,681,1,8139.6,1,1,1,Hibernating
12571.0,39,1,28482.3,4,1,2,Potential
12572.0,8,2,107144.1,5,2,4,Potential
12573.0,226,5,75328.05,2,4,3,At Risk
12575.0,526,1,35889.0,1,1,2,Hibernating
12576.0,95,5,140887.95,3,4,4,Loyal
12577.0,34,7,151536.0,4,5,4,Champions
12578.0,20,3,318547.95,5,3,5,Loyal
12580.0,246,1,43648.5,2,1,2,Hibernating
12581.0,39,1,20759.55,4,1,1,Potential
12582.0,288,1,21541.8,2,1,1,Hibernating
12583.0,2,21,1237964.7,5,5,5,Champions
12584.0,39,5,102902.1,4,4,4,Champions
12585.0,233,2,214210.5,2,2,4,Hibernating
12586.0,16,2,106393.34999999999,5,2,4,Potential
12587.0,7,1,15120.0,5,1,1,Potential
12588.0,38,3,61299.0,4,3,3,Loyal
12589.0,28,7,479236.8,4,5,5,Champions
12590.0,210,1,980832.3,3,1,5,Potential
12591.0,316,3,141975.75,2,3,4,At Risk
12592.0,91,2,96686.1,3,2,3,Potential
12593.0,108,2,34891.5,3,2,2,Potential
12594.0,37,10,347293.8,4,5,5,Champions
12595.0,504,1,31397.1,1,1,2,Hibernating
12596.0,50,2,64918.35,4,2,3,Potential
12597.0,18,4,400178.1,5,4,5,Champions
12598.0,9,6,286212.15,5,4,5,Champions
12599.0,28,7,106650.6,4,5,4,Champions
12600.0,112,8,195925.8,3,5,4,Loyal
12601.0,253,2,26802.3,2,2,2,Hibernating
12602.0,58,1,16077.6,4,1,1,Potential
